No,Teks,Kategori
1271,Pendapat tentang kriteria sekolah dan guru yang berkualitas dijelaskan pada Lampiran 20,Deskriptif
1272,"Bila guru absen , hal ini biasanya karena alasan sakit , penataran / pelatihan , atau keperluan keluarga",Deskriptif
1273,"Beberapa kelas tampak kosong , tidak ada gurunya , sementara beberapa di antaranya sedang duduk-duduk di ruang guru",Deskriptif
1274,"Tapi , adanya dana bantuan BOS berikut ketentuannya telah membunuh kreativitas komite",Argumentatif
1275,Penyebab lain absennya guru adalah jarak rumah guru dan sekolah yang jauh,Deskriptif
1276,"Padahal , menurut saya , orang tua seharusnya ikut bertanggung jawab terhadap perbaikan fisik sekolah",Deskriptif
1277,Sebagian besar fungsi komite sekolah hanya diperankan oleh ketuanya,Deskriptif
1278,Di antara ketentuan penerima dana BOS adalah sekolah tidak boleh lagi meminta uang sumbangan apa pun kepada wali murid,Argumentatif
1279,Ketua komite sekolah biasanya adalah tokoh masyarakat atau bekas kepala sekolah,Deskriptif
1280,"Kalau orang mengorban banyak hal untuk mendapatkan sesuatu , maka sesuatu itu akan menjadi sangat berharga baginya",Argumentatif
1281,Ada beberapa penjelasan dari berbagai informan mengenai alasan kenapa komite sekolah tidak aktif,Deskriptif
1282,Masukan yang diterima komite sekolah dari orang tua siswa dapat membantu mengontrol pelaksanaan pendidikan di sekolah,Argumentatif
1283,Kasus yang pernah terjadi adalah bahwa ada seorang guru yang dianggap berlaku terlalu keras terhadap anak didiknya,Deskriptif
1284,Di antara alasan tersebut adalah karena kualitas dan komitmen anggota komite sekolah memang rendah,Argumentatif
1285,Ada juga yang menganggap bahwa adanya dana BOS telah berdampak langsung terhadap aktivitas komite sekolah,Argumentatif
1286,"Padahal , masyarakat di sini sangat ingin memasukkan anak-anaknya itu ke sekolah",Deskriptif
1287,"Padahal , dengan adanya dana BOS , pihak sekolah , dan juga komite , dilarang memungut biaya apapun dari orang tua murid",Argumentatif
1288,"Hal ini dilakukan karena di desa itu , tidak ada TK untuk menampung anak di bawah usia 7 tahun",Deskriptif
1289,4.2 Penggunaan Pelayanan Pendidikan Dasar dan Faktor yang Memengaruhi Orang Tua untuk Menyekolahkan Anaknya,Deskriptif
1290,Hasil pengamatan di beberapa sekolah menunjukkan jumlah lulusan sekolah SD yang lebih kecil daripada perkiraan masyarakat,Deskriptif
1291,Sebagian dari mereka mungkin juga tidak naik kelas dan / atau putus sekolah,Argumentatif
1292,"Sebagai contoh , Tabel 9 menyajikan perkembangan jumlah siswa terdaftar dan lulusan di SDK Sekon , Insana , TTU",Deskriptif
1293,Sebagian besar anak-anak yang putus sekolah atau tidak melanjutkan ke SMP bekerja,Deskriptif
1294,"Bahkan , ada di antara anak-anak tersebut yang menjadi pengemis di Jakarta karena diajak / dipaksa oleh orang tua mereka",Deskriptif
1295,Mereka lebih mementingkan adat daripada menyekolahkan anak,Argumentatif
1296,"Ternyata , sebagian orang tua di wilayah tertentu di NTT masih kurang memiliki kesadaran untuk menyekolahkan anak mereka",Deskriptif
1297,Masyarakat wilayah ini menilai bahwa perbaikan hidup hanya akan terjadi bila anak-anak mereka menjadi pejabat,Deskriptif
1298,"Sayangnya , di wilayah penelitian ini , jarang sekali ada model-peran yang sukses hidupnya karena bersekolah",Deskriptif
1299,"Oleh sebab itu , ukuran keberhasilan mereka adalah menjadi pejabat , menjadi PNS , atau mendapatkan pekerjaan yang bagus",Argumentatif
1300,Alasan sebagian besar masyarakat untuk memilih sekolah tertentu adalah biaya,Deskriptif
1301,"Meskipun ada BOS , masyarakat masih tetap harus mengeluarkan biaya lainnya seperti biaya transportasi",Argumentatif
1302,"Menurut aturan , kapasitas normal per kelas adalah 40 murid",Deskriptif
1303,"Bagi orang tua , ada kekhawatiran bahwa reputasi anak mereka bisa tercoreng jika mereka tinggal terpisah dari orang tua mereka",Argumentatif
1304,Hal ini menyebabkan jumlah murid per kelas di beberapa SD lebih kecil daripada kapasitas sebenarnya,Deskriptif
1305,Suksesnya Program KB di Kabupaten Sumedang telah berakibat pada minimnya jumlah anak usia sekolah di beberapa desa,Deskriptif
1306,"Namun , jumlah murid per kelas di salah satu SDN di Desa Buahdua hanya 15 orang murid",Deskriptif
1307,"Selain masyarakat mempunyai akses yang jauh lebih baik , mereka juga memiliki banyak pilihan",Deskriptif
1308,"Hal serupa terjadi di ketiga SDN di Desa Pamekaran , Sumedang dan di SDN 1 Jagapura Kidul , Cirebon",Deskriptif
1309,Akibat selanjutnya adalah bahwa sekolah-sekolah yang berkualitas dan favorit mengalami persoalan terbatasnya daya tampung,Deskriptif
1310,"Mudahnya akses dan banyaknya pilihan ini membuat masyarakat mulai mempertimbangkan kualitas sekolah , bukan hanya jarak dan biaya",Argumentatif
1311,"Namun , peminat Program Kejar Paket B masih sangat sedikit dan di beberapa desa , program ini belum tersedia",Deskriptif
1312,Kasus berbeda ditemukan di daerah perkotaan,Deskriptif
1313,Biasanya mereka memilih sekolah yang terdekat,Deskriptif
1314,Hal ini menyebabkan siswa lulusan SD tahun ini yang tidak melanjutkan pendidikannya ke SMP menjadi terkatung-katung,Argumentatif
1315,"Di Desa Pamekaran , Sumedang , karena masih menunggu kepastian dana , Program Kejar Paket B pada tahun ini tidak bisa berjalan",Argumentatif
1316,Masyarakat tidak memiliki pilihan dan harus menyekolahkan anaknya ke satu-satunya SD yang tersedia di desa,Argumentatif
1317,"Di Kota Kupang , misalnya , dalam satu desa , bisa terdapat lebih dari satu SDN sehingga masyarakat mempunyai beberapa pilihan",Deskriptif
1318,masyarakat di Desa Susulaku lebih memilih SMP Kristen,Argumentatif
1319,Perlu dicatat bahwa kata aoeterdekata tidak berarti jaraknya memang betul-betul dekat,Deskriptif
1320,Menariknya adalah bahwa afiliasi agama ternyata menjadi pertimbangan bagi masyarakat dalam memilih sekolah bagi anak-anak mereka,Argumentatif
1321,Jarak ke SMP terdekat kebanyakan lebih dari 4 km,Deskriptif
1322,"Bahkan , di beberapa daerah seperti Desa Oenay , Kie , TTS , SMP terdekat berjarak 10 km",Deskriptif
1323,Persoalan jarak di wilayah perkotaan tidak terlalu menjadi masalah karena transportasi banyak tersedia,Deskriptif
1324,"Oleh karena itu , banyak anak sekolah yang harus berjalan kaki hingga 2-3 jam",Argumentatif
1325,Keterpencilan ini menyebabkan mereka tidak dapat melanjutkan pendidikan anaknya ke SMP atau anak mereka terpaksa putus sekolah,Argumentatif
1326,"Anak-anak di Desa Susulaku , Insana , TTU menempuh jarak yang lebih dekat , yaitu sejauh 4 km , untuk mencapai SMP terdekat",Deskriptif
1327,"Akan tetapi , di desa-desa di NTT , jarak yang jauh kadang tidak dibarengi dengan ketersediaan transportasi yang memadai",Deskriptif
1328,"Kalaupun mereka berupaya masuk , mereka takut terkena hukuman guru karena telah datang terlambat",Argumentatif
1329,"Menurut pihak sekolah , keluarga miskin tetap diterima , bahkan di Sumedang mereka diprioritaskan",Argumentatif
1330,Hal ini dimungkinkan dengan adanya BOS yang dapat menekan biaya menyekolahkan anak,Argumentatif
1331,"Pada akhirnya , persoalan jarak ini tidak dapat dipisahkan dari masalah akses keuangan yang terbatas",Deskriptif
1332,"Sebagian besar dana BOS digunakan untuk biaya-biaya operasional sekolah , keperluan murid ( ekstrakurikuler ) , dan honor guru",Deskriptif
1333,"Karena ketidakmampuan orang tua secara ekonomi , tidak sedikit anak-anak yang terpaksa harus membantu orang tuanya mencari uang",Deskriptif
1334,"Bagi sebagian lainnya , karena mereka telah merasakan aoeenaknya uanga dan akhirnya menjadi malas bersekolah",Argumentatif
1335,"Kalau sudah dibawa ke Jakarta , anak sudah merasakan dapat duit , ya anak jadi males untuk sekolah.",Deskriptif
1336,"Untuk setiap hari ketidakhadiran anak , orang tua akan didenda dengan jumlah yang bervariasi antardaerah",Deskriptif
1337,"Di sebagian besar daerah di TTU dan TTS , ada pemberlakuan denda bagi anak yang absen",Deskriptif
1338,"Selain itu , di NTT , ada juga orang tua yang tidak sanggup membayar uang denda absen anak yang sudah bertumpuk",Deskriptif
1339,"Di Desa Hauteas , TTU , misalnya , besarnya denda untuk setiap hari absen anak adalah Rp1.000",Deskriptif
1340,Alasan anak-anak tidak mau sekolah merupakan faktor yang perlu mendapat perhatian,Argumentatif
1341,"Dengan kondisi seperti ini , mereka tidak dapat naik kelas atau tidak lulus",Deskriptif
1342,"( FGD Kelompok Ibu , Oenay , Kie , TTU , NTT ) Ojek ajak untuk tidak sekolah",Deskriptif
1343,"( FGD Kelompok Ibu , Hauteas , Biboki Utara TTU , NTT ) Yang sama kaya saya punya",Deskriptif
1344,"Sebagai akibatnya , mereka merasa malu untuk melanjutkan sekolah atau dikeluarkan oleh sekolah",Deskriptif
1345,"Tapi , tentu saja kesalahan tidak bisa ditimpakan kepada anak-anak",Argumentatif
1346,Tahun lalu ikut [Program Kejar] Paket C tapi sama saja karena dia ikut pengaruh lingkungan,Deskriptif
1347,Kebanyakan kasus kenakalan siswa SMP berkaitan dengan pergaulan bebas yang menyebabkan kehamilan atau penggunaan narkoba,Deskriptif
1348,Hal-hal tersebut didukung oleh pernyataan beberapa berikut ini,Deskriptif
1349,Usia mereka yang baru 6-12 tahun belum memungkinkan mereka memahami pentingnya sekolah,Deskriptif
1350,"Ada yang bapanya mati jadi , dia sendiri tidak mau sekolah",Deskriptif
1351,"Bagi sebagian orang tua , tidak adanya dorongan disebabkan oleh kondisi hidup mereka sendiri yang tidak berkecukupan",Argumentatif
1352,4.2.5 Tidak Masuk Sekolah secara Teratur dan Faktor yang Memengaruhi,Deskriptif
1353,Tidak pakai izin karena sudah kebiasaan di sini,Deskriptif
1354,Kita ngajar di sini itu hanya bisa serius sampai jam 10,Interaktif
1355,"Karena keterbatasan ekonomi , makanan yang disediakan terbatas dan tidak bervariasi sehingga anak-anak menjadi enggan untuk makan",Argumentatif
1356,"Dengan demikian , anak kurang suka dengan orang tuanya lagi sehingga dia lebih memilih untuk putus sekolah dan pergi cari kerja",Argumentatif
1357,Alasan untuk tidak masuk sekolah yang paling sering dikemukakan adalah sakit,Deskriptif
1358,"Kalau seragam terabik ( robek ) , dia tidak mau sekolah",Interaktif
1359,Anak tidak mengerjakan PR dan tugas dari guru sebagian merupakan refleksi kurangnya perhatian orang tua,Argumentatif
1360,"Hal ini dikombinasikan dengan alasan aoeotak berata , terlambat bangun tidur , dan kenakalan remaja",Deskriptif
1361,Alasan siswa absen lainnya adalah karena tidak membuat PR atau tugas lain dari guru sehingga mereka takut bertemu sang guru,Argumentatif
1362,"Di daerah perkotaan seperti Kupang , keberadaan sarana permainan PS sangat mengganggu dan acapkali mendorong anak untuk bolos",Deskriptif
1363,"Tapi kalau laki-laki , tidak ada asramanya",Interaktif
1364,Pihak sekolah tidak mengenakan sanksi kepada mereka karena hal ini merupakan kebutuhan utama murid,Argumentatif
1365,"Jadi , mereka kos di rumah penduduk di sekitar sekolah",Interaktif
1366,"Banyak anak-anak yang jarak rumahnya ke SMP lebih dari 10 km sehingga kalau perempuan , biasanya tinggal di asrama",Deskriptif
1367,"( FGD Kelompok Bapak , Oenenu , Miomaffo Timur , TTU , NTT ) Guru jahat",Interaktif
1368,"Kalau hari Sabtu , mereka sering bolos karena harus pulang ke rumahnya menjemput bekal",Interaktif
1369,"Di NTT , adanya kebiasaan pesta adat dan aoehari pasara menyebabkan anak membolos sekolah",Deskriptif
1370,Hal ini tergambar dari beberapa ungkapan masyarakat berikut,Deskriptif
1371,"Di samping itu , ada juga yang bolos hanya karena terlambat bangun , selain banyak alasan lainnya",Deskriptif
1372,"( FGD Kelompok Bapak , Naikolan , Maulaffa , Kupang , NTT ) Tidak suka dengan pelajaran tertentu",Interaktif
1373,"Biasanya , ibunya nanya tadi belajar apa , ada PR atau tidak",Interaktif
1374,"( FGD Kelompok Bapak , Buahdua , Buahdua , Sumedang , Jawa Barat ) Memeriksa hasil pelajarannya",Deskriptif
1375,"( FGD Kelompok Ibu , Gegesik Kulon , Gegesik , Cirebon , Jawa Barat ) Diantar ke sekolah",Deskriptif
1376,"( FGD Kelompok Bapak , Buahdua , Buahdua , Sumedang , Jawa Barat ) Kan sekolahnya dekat , dilihat saja",Interaktif
1377,Tidak jarang juga inisiatif bersekolah datang dari si anak sendiri yang mendapat pengaruh dari kawan-kawan sepermainannya,Deskriptif
1378,"( FGD Kelompok Bapak , Buahdua , Buahdua , Sumedang , Jawa Barat ) Mengawasi anak lewat temannya atau gurunya agar tidak kecolongan",Deskriptif
1379,Aparat desa di beberapa desa berperan dalam mendorong pemahaman dan kesadaran masyarakat untuk menyekolahkan anaknya,Deskriptif
1380,"Peranan dan kepedulian aparat desa juga terlihat di Desa Pamekaran , Rancakalong , Sumedang",Deskriptif
1381,"Di Jawa Barat , hal ini terutama ditujukan pada keluarga miskin dengan dibuatkannya SKTM bagi mereka",Deskriptif
1382,"Di tingkat SD , biasanya yang menentukan ke sekolah mana si anak akan bersekolah adalah orang tua si anak",Deskriptif
1383,Ketentuan ini sudah diberlakukan semenjak tahun 2004,Deskriptif
1384,"Tugasnya biasanya cari dana , menyelesaikan masalah",Deskriptif
1385,memperpanjang waktu pendaftaran siswa dan mencari kejelasan alasan siswa tidak melanjutkan sekolah selama penyisiran tersebut,Argumentatif
1386,Aparat desa dan komite sekolah mengetahui dengan sangat baik jumlah lulusan SD dan jumlah lulusan yang tidak melanjutkan ke SMP,Deskriptif
1387,"Di sebagian desa , ada juga denda adat , yaitu pemberian denda kepada warga yang tidak menyekolahkan anaknya",Argumentatif
1388,"( FGD Kelompok Ibu , Buahdua , Buahdua , Sumedang , Jawa Barat ) Komite merupakan perwakilan orang tua murid",Deskriptif
1389,"Sebagai akibatnya , banyak anak keranjingan permainan ini dan tidak masuk sekolah",Argumentatif
1390,"( FGD Kelompok Ibu , Tangkil , Susukan , Cirebon , Jawa Barat ) Kerja komite sekolah bagus , sudah membangun sekolah , merehab",Argumentatif
1391,"( FGD Kelompok Ibu , Pamekaran , Rancakalong , Sumedang , Jawa Barat ) Kalau komite itu fungsinya memang pendanaan bangunan",Deskriptif
1392,Komite sekolah juga dilibatkan dalam pemantauan kinerja guru,Deskriptif
1393,Hasil pemantauannya disampaikan kepada kepala sekolah atau pengawas sekolah,Deskriptif
1394,"Pada akhirnya , orang tua , bersama dengan sekolah dan komite sekolah , membuat peraturan untuk melarang anak main dingdong",Deskriptif
1395,"Di samping itu , dominannya agama Katolik dan agama Protestan dalam tradisi sekolah formal juga sangat berpengaruh",Deskriptif
1396,"Dibandingkan pemerintah daerah di Jawa Barat , pemerintah daerah di NTT lebih aktif keterlibatannya",Deskriptif
1397,"Itu usaha untuk meningkatkan kesadaran , sementara untuk masalah fasilitas kami hanya bisa mengusulkan",Argumentatif
1398,Negara donor tertentu juga ikut mendorong orang tua atau anak untuk tetap bersekolah,Argumentatif
1399,"Menurut pihak sekolah , semenjak adanya makanan tambahan ini tingkat kehadiran anak di kelas menjadi bertambah",Deskriptif
1400,"Setahun belakangan ini , kami mendapatkan bantuan [dari Australia] berupa biskuit",Deskriptif
1401,Biskuit ini dibagikan setiap hari kepada anak-anak,Deskriptif
1402,"Dan semenjak ada pembagian biskuit ini , anak-anak jarang yang absen",Deskriptif
1403,"Jadi , ini semacam hadiah bagi anak-anak agar tetap ke sekolah setiap hari",Deskriptif
1404,Karakteristik wilayah sampel yang memengaruhi penggunaan pelayanan KIA modern dan pendidikan dasar 1,Argumentatif
1405,"Dengan bantuan itu , diharapkan anak-anak yang tidak rutin bersekolah karena alasan ekonomi bisa bersekolah dengan rutin",Argumentatif
1406,Akses fisik untuk mencapai sebagian besar desa di NTT dan wilayah terpencil di Jawa Barat sulit,Deskriptif
1407,"Di Jawa Barat , beberapa desa relatif mudah diakses dan sarana transportasi cukup memadai",Deskriptif
1408,"Hampir tidak ada sarana angkutan pedesaan , kecuali ojek yang relatif mahal untuk ukuran masyarakat setempat",Deskriptif
1409,"Di sebagian desa , tersedia angkutan pedesaan dan di hampir semua desa , terdapat banyak ojek",Deskriptif
1410,"Namun demikian , angkutan pedesaan tersebut tidak mencapai beberapa desa dan dusun terpencil",Argumentatif
1411,"Mata pencaharian sebagian besar penduduk , baik di NTT dan Jawa Barat , adalah petani dan nelayan",Deskriptif
1412,Hanya desa-desa yang dekat dengan pusat kecamatan yang dapat mengakses listrik dari PLN,Deskriptif
1413,Mengapa sebagian masyarakat Indonesia tidak menggunakan pelayanan kesehatan ibu dan anak,Argumentatif
1414,"Fasilitas dasar , seperti listrik dan air , di sebagian besar desa yang diteliti di NTT sangat minim",Deskriptif
1415,"Perbedaannya adalah bahwa lahan di NTT kurang subur dan berbatu , sementara lahan di Jawa Barat relatif subur",Deskriptif
1416,"Desa-desa di NTT sulit memperoleh air bersih untuk kebutuhan rumah tangga dan bertani , serta untuk kebutuhan murid di sekolah",Deskriptif
1417,"Sebagai akibatnya , polindes pun menjadi tidak aktif",Argumentatif
1418,Bidan desa merupakan pemberi pelayanan KIA yang utama di desa,Deskriptif
1419,"Idealnya , untuk wilayah yang luas , diperlukan lebih dari satu bidan desa",Argumentatif
1420,"Posyandu telah ada di semua desa , bahkan di setiap dusun",Deskriptif
1421,"Selama ini , posisi kader posyandu sangat sentral",Deskriptif
1422,"Meskipun demikian , kehadiran peserta posyandu ( balita dan bumil ) masih rendah",Argumentatif
1423,"Meskipun jumlahnya berkurang , dukun beranak masih tetap ada",Deskriptif
1424,Imunisasi paling banyak dilakukan di posyandu,Deskriptif
1425,"Semuanya aktif , rutin diselenggarakan setiap bulan , dan dikelola dengan baik oleh tiga hingga lima kader di setiap posyandunya",Deskriptif
1426,"Tidak seperti di Jawa Barat yang seluruh kadernya adalah perempuan , di NTT , terdapat sangat banyak kader laki-laki",Argumentatif
1427,"Alasan untuk hal ini , antara lain , seperti",Deskriptif
1428,"Di semua desa / kelurahan penelitian , terdapat sekitar satu hingga lima dukun beranak yang masih melayani masyarakat",Deskriptif
1429,Hampir semua anak diimunisasi oleh bidan desa meskipun ada juga sebagian kecil balita yang pada awalnya tidak diimunisasi,Deskriptif
1430,"( 5 ) sibuk bekerja atau repot , misalnya berjualan di pasar , melaut , atau panen;",Deskriptif
1431,"( 7 ) persepsi yang salah tentang penimbangan balita , yaitu tidak ada hubungannya dengan kesehatan;",Argumentatif
1432,"( 9 ) banjir , yaitu sungai tidak bisa diseberangi karena air meluap pada musim hujan",Deskriptif
1433,"Hal ini biasanya terjadi karena keberosotan / kebrojolan , yaitu bayi keluar sebelum bidan desa atau dukun beranak datang",Deskriptif
1434,Mengapa sebagian masyarakat Indonesia tidak menyekolahkan anak mereka ke SD / sederajat dan SMP / sederajat,Argumentatif
1435,eternitnya sudah jebol dan bangku sekolahnya kurang terawat,Deskriptif
1436,"Selain jumlah kelasnya kurang , banyak kelas yang sudah tidak layak pakai lagi",Deskriptif
1437,"( 8 ) malu pergi ke posyandu karena memiliki anak banyak , yaitu lebih dari lima , dan melahirkan pada usia di atas 45 tahun; dan",Argumentatif
1438,"Namun , dari segi kuantitas dan kualitas , sarana KBM dan prasarana sekolah di Jawa Barat masih belum memadai",Argumentatif
1439,Fasilitas SMPN umumnya berada di ibu kota kecamatan,Deskriptif
1440,"Bahkan , beberapa SD di pedesaan kekurangan murid",Deskriptif
1441,"Dalam situasi normal , daya tampung sekolah SD cukup memadai",Deskriptif
1442,Begitu pula halnya dengan alat peraga dan alat-alat olahraga yang jumlahnya masih minim,Deskriptif
1443,"Beberapa SD tidak memiliki perpustakaan; kalaupun ada , kondisinya tidak layak dan koleksi bukunya tidak lengkap",Deskriptif
1444,"Di hampir semua wilayah , anak dengan keterbelakangan mental ditolak masuk SD",Deskriptif
1445,"Di NTT , sebagian besar gurunya berstatus honorer",Deskriptif
1446,Mereka antara lain direkrut dari lulusan SMA atau mahasiswa D2,Deskriptif
1447,"Sebagian besar guru di Jawa Barat , baik guru SD maupun guru SMP , adalah PNS",Deskriptif
1448,Kendala lain yang dihadapi guru adalah rendahnya kesejahteraan guru dan terbatasnya sarana transportasi di wilayah terpencil,Deskriptif
1449,"Secara umum , tidak ada kendala dalam menjangkau kelompok tertentu untuk dapat menyekolahkan anak mereka ke SD",Deskriptif
1450,"Namun , kendala semacam ini ditemui ketika menjangkau kelompok tertentu untuk dapat menyekolahkan anak mereka ke SMP",Deskriptif
1451,"Mereka bersedia menjual ternak untuk keperluan adat , tetapi tidak untuk keperluan sekolah anaknya",Argumentatif
1452,Masalah akses keuangan berkaitan dengan biaya penunjang sekolah dan biaya untuk kebutuhan keluarga sehari-hari,Deskriptif
1453,Alasan ekonomi juga menjadi sebab anak tidak masuk sekolah,Argumentatif
1454,"Biaya penunjang sekolah meliputi biaya-biaya transportasi , pembelian buku , LKS , peralatan sekolah , seragam , dan uang jajan",Deskriptif
1455,kelompok masyarakat yang berada di wilayah terpencil; 2,Deskriptif
1456,"Program-program tersebut dapat menjangkau kelompok-kelompok tertentu , yaitu 1",Deskriptif
1457,Komite sekolah senantiasa menghadiri rapat sekolah bersama orang tua meskipun peranannya lebih banyak kepada pencarian dana,Argumentatif
1458,Sebab lain mengapa anak tidak melanjutkan sekolah ke SMP atau terpaksa putus sekolah adalah karena anak tidak mau sekolah,Argumentatif
1459,kelompok masyarakat yang mempunyai banyak anak; 6,Deskriptif
1460,kelompok petani dan nelayan yang bekerja jauh dari tempat tinggal mereka; 4,Deskriptif
1461,kelompok masyarakat yang biasa menggunakan dukun beranak karena alasan kepercayaan dan tradisi; 5,Deskriptif
1462,kelompok masyarakat yang lebih mengagungkan adat daripada pentingnya bersekolah; 7,Deskriptif
1463,kelompok masyarakat yang tidak melihat pentingnya bersekolah; 8,Deskriptif
1464,kelompok masyarakat yang memiliki anak perempuan; dan 9,Deskriptif
1465,Hal ini dapat mengaburkan dampak yang diamati,Deskriptif
1466,"Kedua program tersebut hendaknya mengikutsertakan aktor-aktor yang berpengaruh di tingkat desa , seperti kader posyandu",Deskriptif
1467,Penelitian ini dapat kami selesaikan atas bantuan banyak pihak,Deskriptif
1468,Perlu ditetapkan waktu penelitian yang lebih lama di desa ( minimal 10 hari ),Deskriptif
1469,"Berkaitan dengan butir b tersebut , informan di setiap tingkat tidak hanya dibatasi pada informan tertentu",Deskriptif
1470,"Untuk semua itu , kami sampaikan terima kasih",Deskriptif
1471,Metode evaluasi perlu ditentukan dengan cermat sebab berbagai program bantuan telah masuk ke hampir semua daerah di NTT,Deskriptif
1472,Australian Agency for International Development ( AusAID ) yang telah mendukung pelaksanaan penelitian ini,Argumentatif
1473,Informasi yang kami peroleh dari berbagai pihak telah memperkaya hasil penelitian kami,Deskriptif
1474,"krisis keuangan global , program perlindungan sosial",Deskriptif
1475,Ditandai oleh tingginya kredit bermasalah,Argumentatif
1476,"Pada 1997 / 98 , kondisi pasar finansial dalam negeri buruk",Deskriptif
1477,"Secara umum , hasil penelitian tersebut menunjukkan bahwa dampak krisis masih berlangsung dengan intensitas yang menurun",Deskriptif
1478,Namun permintaan akan barang ekspor tetap tinggi,Deskriptif
1479,"Secara umum , peran berbagai program perlindungan sosial dalam merespons dampak krisis relatif rendah dan bervariasi antarprogram",Argumentatif
1480,Pemantauan dilakukan melalui empat kelompok kegiatan,Deskriptif
1481,"Bahkan , penurunan nilai rupiah saat itu cenderung menguntungkan produk ekspor",Deskriptif
1482,Untuk dapat menyusun kebijakan yang efektif diperlukan dukungan pemantauan cepat,Argumentatif
1483,( i ) pemantauan berita; ( ii ) studi komunitas; ( iii ) analisis kuantitatif; dan ( iv ) studi kasus,Deskriptif
1484,"Pada awal 2009 , harga karet mulai merangkak naik kembali",Deskriptif
1485,"Di setiap kabupaten studi , dikunjungi dua atau tiga desa di satu atau dua kecamatan",Deskriptif
1486,Studi kasus dilakukan setiap empat bulan dan studi kasus pertama ini dilakukan selama periode Agustus-November 2009,Deskriptif
1487,"Secara umum , penyadap merupakan kelompok yang paling menderita karena pendapatan dan tabungan mereka terbatas",Deskriptif
1488,"Ketika harga karet sangat rendah , muncul berbagai upaya bertahan hidup , terutama di kalangan kelompok penyadap , antara lain",Deskriptif
1489,"Namun , beberapa perusahaan mengalami penurunan volume penjualan sehingga berpengaruh pada pekerja",Deskriptif
1490,Harga batu bara yang turun sekitar 50% dinilai masih dalam hitungan ekonomis,Deskriptif
1491,Dampak pada pekerja tetap relatif rendah karena rendahnya tingkat pemutusan hubungan kerja ( PHK ),Deskriptif
1492,Perda tersebut melarang angkutan hasil tambang dan kelapa sawit melalui jalan umum,Deskriptif
1493,Dampak KKG kemudian diperparah dengan diberlakukannya Peraturan Daerah ( Perda ) Provinsi Kalimantan Selatan No,Deskriptif
1494,"Kelompok yang paling menderita adalah para pekerja tambang , baik pekerja tetap maupun tidak tetap",Deskriptif
1495,"Mereka yang sebelumnya rata-rata berpenghasilan 1,5-6 juta rupiah per bulan harus kehilangan pekerjaan",Deskriptif
1496,Beberapa mantan pekerja lainnya bekerja serabutan atau masih menganggur,Deskriptif
1497,Pelaksanaan dan Peran Program Perlindungan Sosial PNPM Perdesaan,Argumentatif
1498,"Sebagian dari mereka kembali bekerja sebagai petani karet , baik di lahan milik sendiri maupun milik orang lain",Deskriptif
1499,"Secara umum , PNPM berperan positif terhadap kesejahteraan masyarakat",Argumentatif
1500,"Dampak negatif KKG masih dirasakan masyarakat hingga saat ini , meski dengan intensitas yang cenderung menurun",Deskriptif
1501,Namun kurang berpengaruh dalam upaya meredam dampak krisis,Argumentatif
1502,Hal ini terkait dengan ketatnya mekanisme internal program dan keterbatasan dana,Argumentatif
1503,"Pembangunan infrastruktur berkontribusi dalam pembuatan / peningkatan kualitas jalan desa , jembatan , dan sarana air bersih",Deskriptif
1504,"Melalui kegiatan SPP , PNPM menyediakan pinjaman dengan bunga rendah",Deskriptif
1505,SPP juga berperan dalam mengembangkan kegiatan ekonomi meskipun jumlah peminjam dan dananya terbatas,Deskriptif
1506,"Selain itu , terdapat kasus pembangunan proyek yang dilakukan kontraktor tanpa melibatkan masyarakat",Deskriptif
1507,"Umumnya , peminjam menggunakan dana untuk menambah modal usaha yang sudah berjalan atau membuka usaha baru",Deskriptif
1508,Penetapan kegiatan PNPM sepenuhnya dilaksanakan oleh masyarakat melalui proses kompetitif yang panjang,Deskriptif
1509,"Meskipun demikian , secara umum Raskin cukup membantu menghemat biaya hidup",Deskriptif
1510,"Praktik demikian seharusnya dapat dimanfaatkan untuk merespons dampak krisis , tetapi aparat pelaksana tidak menggunakannya",Argumentatif
1511,Pembagian beras Raskin ke rumah tangga bervariasi antarrukun tetangga ( RT ) dan antardesa,Deskriptif
1512,"Selain itu , tidak seluruh rumah tangga miskin menerima beras Raskin setiap bulan",Deskriptif
1513,"Bantuan Operasional Sekolah ( BOS ) , Pendidikan Gratis , dan Bantuan Operasional Pendidikan Daerah ( BOPD )",Deskriptif
1514,"Program pendidikan mampu meringankan beban hidup masyarakat , terutama kelompok miskin , terlebih pada saat krisis",Argumentatif
1515,Hambatan yang masih sering dihadapi masyarakat adalah biaya transpor ke sekolah,Deskriptif
1516,Mereka membeli beras Raskin Rp2.000- Rp3.000 per kg sesuai dengan jarak dari titik distribusi ( kantor kecamatan ) ke titik bagi,Deskriptif
1517,Semangat masyarakat untuk menyekolahkan anak meningkat sehingga kasus anak putus sekolah jarang ditemui,Argumentatif
1518,"Jaminan Kesehatan Masyarakat ( Jamkesmas ) , Asuransi Kesehatan Semesta ( Askes Semesta ) , dan Jaminan Kesehatan Daerah ( Jamkesda )",Deskriptif
1519,"Walaupun demikian , terdapat dua hal penting yang perlu diperhatikan",Argumentatif
1520,Mereka yang memiliki KTP setempat dapat memperoleh layanan kesehatan dasar di puskesmas,Deskriptif
1521,"Umumnya , penerima memanfaatkan BLT untuk konsumsi sehari-hari",Deskriptif
